Reference,Question,Pearson_r,p_value
Knowledge,Q2,-0.11803509998079004,1.0618315339457033e-05
Awareness,Q2,-0.08605160057126097,0.001348201963862099
Knowledge,Q3,-0.07109243332303287,0.008127969099066901
Awareness,Q3,-0.03655358429595043,0.17395994932077302
Knowledge,Q4,-0.15074900267208172,1.726448349133534e-08
Awareness,Q4,-0.1027354179653164,0.00012811988083369838
Knowledge,Q7,0.10404505113333969,0.00010482904741422604
Awareness,Q7,0.1449140123256694,6.067276412916916e-08
Knowledge,Q20,0.36933351411481796,5.2448799540941524e-46
Awareness,Q20,0.3197141272202619,2.7665797259270954e-34
Knowledge,Q30,-0.02341686701264637,0.383860620264471
Awareness,Q30,-0.0157751070338003,0.5574815799663803
